date,DB Carry Index,DB Valuation Index,DB Momentum Index,S&P 500 Index,SPX Volatility Index,MSCI EAFE Index,JP US Aggregate Bond Index,Doppio Systematic Currency
31/12/2004,439.26,328.83499,314.737,1799.55,13.29,1515.48,366.352,10000
03/01/2005,439.33,328.89301,314.79199,1784.96,14.08,1509.2,364.912,9995.68
04/01/2005,440.23,332.81299,312.41299,1764.3,13.98,1494.96,361.763,10001.35
05/01/2005,439.09,331.63101,311.66599,1758.07,14.09,1484.1,361.861,10031.28
06/01/2005,440.69,332.44101,311.75201,1764.63,13.58,1477.75,360.303,10040.18
07/01/2005,440.86,335.35199,310.19101,1762.12,13.49,1474.24,359.282,9959.89
10/01/2005,439.9,335.22101,310.15799,1768.17,13.23,1479.33,360.261,9950.45
11/01/2005,439.14,335.25101,309.79501,1757.51,13.19,1481.09,361.483,9951.22
12/01/2005,438.43,334.578,311.62299,1764.72,12.56,1486.16,364.147,9921.79
13/01/2005,438.11,335.57999,310.56699,1749.48,12.84,1480.94,363.83,9897.59
14/01/2005,437.18,335.87701,308.26501,1759.98,12.43,1477.46,362.298,9914.18
17/01/2005,436.17,336.17801,307.91501,1759.98,12.43,1483.46,362.549,9884.02
18/01/2005,436.66,336.16599,307.16101,1777.03,12.47,1475.96,361.828,9918.78
19/01/2005,440.29,336.91299,305.57901,1760.28,13.18,1479.07,362.337,9937.6
20/01/2005,443.67,338.875,303.86801,1746.61,13.83,1462.16,360.828,9947.26
21/01/2005,445.31,339.84799,304.33801,1735.42,14.36,1464.68,361.538,9902.4
24/01/2005,445.76,339.65701,304.035,1729.33,14.65,1470.96,362.697,9922.96
25/01/2005,447.11,340.646,302.91599,1736.25,14.06,1466.3,360.71,9969.84
26/01/2005,448.39,339.561,302.492,1744.72,13.44,1483.39,362.608,9993.13
27/01/2005,449.75,339.78799,300.423,1745.58,13.24,1483.77,361.807,10021.23
28/01/2005,449.71,339.36401,300.33899,1740.96,13.24,1476.17,362.027,10021
31/01/2005,450.46,340.08899,300.25101,1755.68,12.82,1486.97,362.507,10003.19
01/02/2005,450.71,340.86401,300.77301,1767.79,12.03,1491.07,361.937,9999
02/02/2005,452.08,340.233,300.487,1773.63,11.66,1498.73,362.471,10023.45
03/02/2005,453.37,341.992,300.065,1769.26,11.79,1487.96,360.863,10005.58
04/02/2005,454.44,343.87601,298.112,1788.82,11.21,1499.47,362.441,10021.32
07/02/2005,455.84,346.33701,296.039,1786.92,11.73,1496.89,361.092,9986.73
08/02/2005,456.55,346.68701,297.33701,1788.16,11.6,1488.68,359.662,9943.91
09/02/2005,457.56,346.06601,296.90201,1773.28,12,1489.58,360.467,9951.57
10/02/2005,461.32,346.388,295.98199,1780.8,11.51,1500.85,361.176,10005.88
11/02/2005,463.39,348.40302,295.629,1793.54,11.43,1508.89,360.627,10057.6
14/02/2005,460.97,345.06201,296.522,1794.98,11.52,1522.38,361.891,10028.32
15/02/2005,459.11,343.54001,297.159,1801.06,11.27,1527.88,361.861,10005.54
16/02/2005,458.18,342.44,298.99399,1801.59,11.1,1519.62,361.224,9961.43
17/02/2005,458.76,342.53,300.01199,1787.41,11.77,1526.93,361.897,9968.83
18/02/2005,459.76,342.742,300.509,1788.65,11.18,1529.69,360.7,9974.02
21/02/2005,460.48,342.64801,299.87201,1788.65,11.18,1530.35,360.617,9962.8
22/02/2005,456,338.315,301.034,1762.76,13.14,1538.06,362.93,9887.31
23/02/2005,454.13,337.005,301.81,1772.76,12.39,1522.29,362.442,9846.54
24/02/2005,456.03,336.86499,301.48499,1787.34,11.57,1522.48,361.998,9862.22
25/02/2005,456.64,336.72,300.93799,1804.17,11.49,1537.87,362.153,9867.14
28/02/2005,456.37,336.41101,301.23099,1792.63,12.08,1548.6,363.176,9884.92
01/03/2005,456.1,336.93201,300.62201,1802.79,12.04,1548.65,361.681,9908.81
02/03/2005,457.09,339.63199,300.479,1802.92,12.5,1542.2,360.317,9885.65
03/03/2005,458.7,339.47699,300.272,1803.51,12.93,1544.26,360.46,9902.24
04/03/2005,459.62,338.741,300.79999,1820.88,11.94,1564.49,363.249,9889.5
07/03/2005,460.97,339.96399,301.215,1825.7,12.26,1559.29,362.588,9918.06
08/03/2005,460.09,338.38199,302.73199,1817.12,12.4,1568.18,364.131,9914.27
09/03/2005,457.25,337.69699,304.37701,1798.79,12.7,1565.79,363.356,9934.53
10/03/2005,455.06,337.474,306.02399,1802.2,12.49,1557.02,363.869,9919.12
11/03/2005,455.2,336.50299,305.83499,1789.01,12.8,1565.04,364.146,9916.31
14/03/2005,456.11,339.08099,306.41199,1799.14,12.39,1551.44,362.599,9916.67
15/03/2005,453.41,340.702,305.422,1785.61,13.15,1556.56,362.644,9965.27
16/03/2005,455.64,338.66199,306.293,1771.35,13.49,1554.36,364.371,9947.94
17/03/2005,456.72,339.35501,306.24899,1774.55,13.29,1546.57,363.882,9942.69
18/03/2005,458.86,341.664,305.47299,1773.72,13.14,1543.16,362.325,9956.36
21/03/2005,456.18,343.97299,304.42499,1764.98,13.61,1531.58,360.552,9974.51
22/03/2005,455.4,345.09399,304.54001,1747.03,14.27,1535.08,360.598,9962.11
23/03/2005,454.07,347.02399,303.78799,1748.28,14.06,1507.64,357.532,9970.87
24/03/2005,454.8,347.70901,302.97299,1746.62,13.42,1505.74,357.119,9979.43
25/03/2005,454.83,347.728,302.98999,1746.62,13.42,1507.25,357.157,9975.02
28/03/2005,454.93,347.785,303.039,1750.88,13.75,1499.83,355.521,9946.34
29/03/2005,456.72,349.452,302.52399,1737.94,14.49,1496.56,356.054,9890.84
30/03/2005,455.28,347.06299,303.09299,1762.09,13.64,1496.35,357.221,9928.98
31/03/2005,457.39,349.10999,302.444,1760.89,14.02,1503.85,358.88,9898.64
01/04/2005,457.97,349.78,302.27499,1749.45,14.09,1506.54,358.763,9896.49
04/04/2005,459.08,350.591,301.44501,1754.43,14.11,1486.31,356.773,9905.34
05/04/2005,458.75,349.87299,301.90302,1762.32,13.68,1498.14,356.614,9900.33
06/04/2005,459.12,348.65601,302.185,1766.69,13.15,1503.97,356.981,9890.27
07/04/2005,458.21,348.28601,302.56299,1777.35,12.33,1513.53,357.893,9913.93
08/04/2005,460.21,348.086,301.789,1762.52,12.62,1512.05,356.726,9956.99
11/04/2005,460.63,345.79599,300.914,1762.56,11.98,1518.07,358.836,10018.62
12/04/2005,462.79,348.04999,299.48199,1772.43,11.3,1504.09,358.484,10067.84
13/04/2005,464.02,349.121,298.491,1751.77,13.31,1512.5,359.399,10135.33
14/04/2005,465.29,351.06299,297.76901,1734.25,14.53,1496.23,357.858,10144.54
15/04/2005,461.18,347.44601,299.086,1705.26,17.74,1485.45,360.371,10066.77
18/04/2005,458.86,343.323,300.83301,1710.27,16.56,1460.44,361.744,9954.35
19/04/2005,460.2,344.25101,300.78101,1720.43,14.96,1476.3,362.865,9991.96
20/04/2005,460.34,343.05899,302.23001,1697.74,16.92,1475.56,363.424,9981.48
21/04/2005,460.81,344.25,301.69901,1731.27,14.41,1475.07,363.229,10008.52
22/04/2005,461.65,344.789,300.789,1719.66,15.38,1486.93,363.943,10066.09
25/04/2005,461.52,345.79199,299.64301,1734.56,14.62,1484.58,363.177,10082.65
26/04/2005,460.27,345.26401,299.362,1719.09,14.91,1477.35,362.692,10054.1
27/04/2005,460.02,345.19601,298.77802,1726.21,14.87,1463.53,363.265,10047.2
28/04/2005,463.41,346.73199,298.87799,1707.13,16.86,1458.62,363.217,10045.13
29/04/2005,462.63,346.82401,298.46701,1727.49,15.31,1462.87,363.654,10046.98
02/05/2005,462.74,346.88199,298.517,1735.43,15.12,1460.37,362.799,10080.12
03/05/2005,460.24,346.48401,298.336,1733.95,14.53,1467.76,363.443,10065.88
04/05/2005,461.6,345.92499,299.26199,1755.92,13.85,1481.02,364.694,10057.11
05/05/2005,462.27,346.69199,299.04901,1751.47,13.98,1485.66,364.822,10066.73
06/05/2005,463.69,349.82001,297.789,1749.65,14.05,1487.51,362.596,10100.98
09/05/2005,462.46,349.86801,298.422,1760.87,13.75,1479.41,361.807,10127.47
10/05/2005,462.42,349.177,299.26599,1742.06,14.91,1475.65,363.149,10105.05
11/05/2005,462.01,349.784,298.75,1750.26,14.45,1466.95,362.739,10060.46
12/05/2005,462.11,351.448,297.345,1732.89,16.12,1460.71,361.138,10147.51
13/05/2005,461.25,351.35101,296.47198,1725.15,16.32,1451.53,360.589,10125.15
16/05/2005,456.74,349.70001,296.26501,1742.74,15.68,1440.69,359.937,10127.48
17/05/2005,457.79,350.065,297.668,1755.1,14.57,1439.66,360.104,10127.46
18/05/2005,459.76,350.246,298.79501,1773.01,13.63,1451.63,360.843,10138.45
19/05/2005,460.23,351.19501,298.888,1781.28,13.32,1461.12,360.178,10134.1
20/05/2005,461.98,353.10101,299.203,1778.59,13.14,1453.77,358.705,10135.1
23/05/2005,461.98,353.45001,299.57199,1785.46,12.95,1465.91,360.043,10135.65
24/05/2005,462.33,352.99301,300.24301,1785.8,12.69,1466.32,360.715,10097.45
25/05/2005,461.23,351.23199,300.07199,1779.81,12.58,1462.47,360.87,10071.54
26/05/2005,460.63,352.87799,300.24301,1791.41,12.24,1462.22,359.614,10096
27/05/2005,461.73,352.64499,302.07401,1793.34,12.15,1466.52,359.848,10091.58
30/05/2005,461.84,352.703,302.12299,1793.34,12.15,1468.92,359.217,10147.3
31/05/2005,462.49,356.94101,300.17801,1782.46,13.29,1457.36,358.802,10217.28
01/06/2005,460.88,358.70901,299.888,1799.15,12.36,1463.84,358.807,10298.09
02/06/2005,461.78,358.03101,300.05301,1802.19,11.84,1466.31,359.256,10269.09
03/06/2005,461.49,359.448,299.93701,1789.83,12.15,1465.86,359.114,10320.28
06/06/2005,463.68,359.672,301.78299,1792.14,12.28,1466.17,359.809,10327.38
07/06/2005,465.74,359.54999,301.86401,1791.89,12.39,1476.21,360.607,10318.93
08/06/2005,465.66,360.97601,302.03299,1788.3,12.7,1480.67,361.384,10325.42
09/06/2005,467.8,361.64401,302.57199,1797.72,12.08,1463.43,359.067,10335.2
10/06/2005,467.67,364.504,302.767,1793.51,11.96,1464.03,357.284,10287.21
13/06/2005,470.73,366.211,303.237,1798.07,11.65,1457.59,355.09,10288.16
14/06/2005,467.11,368.505,305.077,1802.73,11.79,1461.34,355.041,10328.7
15/06/2005,472.6,368.54501,305.27301,1806.78,11.46,1465.34,355.297,10299.83
16/06/2005,473.7,369.517,306.52899,1813.35,11.15,1470.68,355.092,10323.44
17/06/2005,471.09,366.05099,305.009,1822.35,11.48,1490.1,357.096,10285.22
20/06/2005,470.61,368.61499,306.44101,1821.06,11.47,1479.19,355.754,10283.54
21/06/2005,471.18,369.15799,307.155,1817.36,11.08,1486.75,357.222,10325.59
22/06/2005,473.4,370.70401,307.75101,1817.8,11.05,1488.03,358.357,10333.26
23/06/2005,471.96,374.76599,308.79199,1798.49,12.13,1484.91,357.352,10326.97
24/06/2005,471.5,372.65201,306.76401,1784.77,12.18,1476.75,357.994,10298.33
27/06/2005,471.21,370.88699,305.97299,1783.45,12.52,1469.42,359.243,10275.77
28/06/2005,470.73,373.49899,307.20499,1800.07,11.58,1472.46,357.27,10237.71
29/06/2005,471.11,372.91901,307.48401,1797.73,11.77,1474.46,356.736,10204.76
30/06/2005,470.49,373.168,308.11099,1784.99,12.04,1473.72,357.39,10163.51
01/07/2005,468.32,374.048,307.24799,1789.85,11.4,1467.29,354.571,10221.11
04/07/2005,467.92,375.83701,308.483,1789.85,11.4,1466.01,353.503,10215.74
05/07/2005,464.4,373.655,306.17099,1805.68,11.68,1462.23,352.657,10235.44
06/07/2005,462.56,373.397,305.31601,1791.05,12.27,1469.45,352.995,10237.17
07/07/2005,461.68,373.42599,306.754,1795.55,12.49,1450.18,353.652,10261.84
08/07/2005,463.32,375.42599,308.88901,1816.52,11.45,1461.25,353.142,10241.86
11/07/2005,463.66,373.845,308.08401,1827.91,11.28,1482.99,354.603,10265.72
12/07/2005,463.7,371.47198,307.14899,1832.15,10.95,1493.93,356.419,10292.84
13/07/2005,462.08,373.01801,306.72198,1833.98,10.84,1486.57,354.15,10250.2
14/07/2005,463.72,374.01199,307.457,1838.8,10.81,1495.58,354.11,10249.67
15/07/2005,463.13,374.37399,307.155,1840.93,10.33,1488.32,353.329,10280.78
18/07/2005,464.55,376.328,308.93301,1830.75,10.77,1489.31,353.727,10247.43
19/07/2005,465.84,376.95499,309.655,1843.07,10.45,1482.8,352.28,10227.81
20/07/2005,467.64,376.13501,310.745,1852.02,10.23,1482.43,352.225,10284.05
21/07/2005,466.56,375.41699,310.79401,1839.8,10.97,1503.12,354.528,10264.18
22/07/2005,466.68,378.017,312.57999,1849.81,10.52,1501.53,355.264,10271.78
25/07/2005,468.08,376.82199,312.14001,1842.84,11.1,1499.7,354.335,10295.26
