"date","open","high","low","close","volume","oi"
05/31/2012,2535.87,2540.40,2507.58,2524.87,20429610,0
06/01/2012,2510.82,2510.82,2458.73,2458.83,18811880,0
06/04/2012,2458.97,2480.97,2443.92,2478.13,16560210,0
06/05/2012,2467.81,2492.53,2467.66,2487.50,15329260,0
06/06/2012,2504.08,2546.32,2504.08,2546.32,16797070,0
06/07/2012,2569.24,2570.48,2531.95,2535.41,15807460,0
06/08/2012,2529.42,2561.57,2522.39,2559.21,13360010,0
06/11/2012,2578.73,2579.23,2513.67,2517.18,14131840,0
06/12/2012,2523.01,2546.83,2510.75,2546.20,15199310,0
06/13/2012,2541.72,2557.31,2519.69,2527.44,15344250,0
06/14/2012,2529.28,2547.31,2515.17,2539.97,15631570,0
06/15/2012,2543.85,2572.84,2542.51,2571.23,19100250,0
06/18/2012,2570.98,2599.52,2554.83,2592.52,15407330,0
06/19/2012,2606.43,2630.86,2605.16,2620.83,17714840,0
06/20/2012,2625.00,2633.21,2603.32,2623.33,15045430,0
06/21/2012,2619.98,2622.76,2554.65,2556.96,17211650,0
06/22/2012,2562.28,2587.00,2559.26,2585.53,22237210,0
06/25/2012,2562.98,2563.09,2527.01,2533.54,14373980,0
06/26/2012,2541.21,2556.92,2531.60,2549.84,15455900,0
06/27/2012,2558.67,2576.09,2557.09,2565.53,15713580,0
06/28/2012,2565.53,2565.53,2510.37,2536.65,16722440,0
06/29/2012,2566.84,2615.82,2566.84,2615.72,18325310,0
